DISTNAME,CAMPNAME,CNTYNAME,Longitude,Latitude,STREET,CITY,ZIP,CAMPUS,year,COUNT_ALL,COUNT_BLACK,COUNT_HIS,COUNT_WHITE,COUNT_AI,COUNT_API,COUNT_ASIAN,COUNT_PI,COUNT_TWO,COUNT_ECON,COUNT_ELL,PER_BLACK,PER_HIS,PER_WHITE,PER_AI,PER_API,PER_ASIAN,PER_PI,PER_TWO,PER_ECON,PER_ELL
AUSTIN ISD,SIMS EL,TRAVIS,-95.810991,29.798083,1732 KATYLAND DR,KATY,77493,227901139,01-01-09,401,187,213,1,0,0,,,,389,118,46.6,53.1,0.2,0,0,,,,97,29.4
AUSTIN ISD,TRAVIS HTS EL,TRAVIS,-95.191637,29.677815,1348 GENOA RED BLUFF,HOUSTON,77034,227901140,01-01-09,564,68,362,128,2,4,,,,427,140,12.1,64.2,22.7,0.4,0.7,,,,75.7,24.8
AUSTIN ISD,WALNUT CREEK EL,TRAVIS,-101.380311,33.681646,1106 10TH ST,RALLS,79357,227901141,01-01-09,764,105,621,16,0,22,,,,712,506,13.7,81.3,2.1,0,2.9,,,,93.2,66.2
AUSTIN ISD,ALLAN EL,TRAVIS,-101.926911,33.525537,7508 ALBANY,LUBBOCK,79424,227901142,01-01-09,384,31,351,2,0,0,,,,372,208,8.1,91.4,0.5,0,0,,,,96.9,54.2
AUSTIN ISD,PATTON EL,TRAVIS,-97.522654,26.007617,2500 ARROYO BLVD,BROWNSVILLE,78526,227901143,01-01-09,732,64,189,387,1,91,,,,180,80,8.7,25.8,52.9,0.1,12.4,,,,24.6,10.9
AUSTIN ISD,WOOTEN EL,TRAVIS,-99.48026,27.361809,3809 S ESPEJO-MOLINA RD,LAREDO,78046,227901144,01-01-09,675,74,585,13,0,3,,,,655,499,11,86.7,1.9,0,0.4,,,,97,73.9
AUSTIN ISD,ZAVALA EL,TRAVIS,-95.024298,29.514377,4050 VILLAGE WAY,LEAGUE CITY,77573,227901145,01-01-09,435,57,368,9,0,1,,,,416,177,13.1,84.6,2.1,0,0.2,,,,95.6,40.7
AUSTIN ISD,ZILKER EL,TRAVIS,-98.168563,29.865706,310 CANNAN RD,CANYON LAKE,78133,227901146,01-01-09,497,19,161,304,2,11,,,,194,33,3.8,32.4,61.2,0.4,2.2,,,,39,6.6
AUSTIN ISD,MENCHACA EL,TRAVIS,-95.11872,32.146997,201 E BRYANT ST,TROUP,75789,227901147,01-01-09,631,34,326,233,2,36,,,,288,128,5.4,51.7,36.9,0.3,5.7,,,,45.6,20.3
AUSTIN ISD,OAK HILL EL,TRAVIS,-97.793352,30.497598,11501 STAKED PLAINS DR,AUSTIN,78717,227901148,01-01-09,951,20,328,548,5,50,,,,341,208,2.1,34.5,57.6,0.5,5.3,,,,35.9,21.9
AUSTIN ISD,BARRINGTON EL,TRAVIS,-97.16927,32.826575,1000 HARRISON LN,HURST,76053,227901149,01-01-09,871,75,775,16,2,3,,,,840,573,8.6,89,1.8,0.2,0.3,,,,96.4,65.8
AUSTIN ISD,NORMAN EL,TRAVIS,-96.610594,33.528863,200 E PONDEROSA,HOWE,75459,227901150,01-01-09,382,192,187,3,0,0,,,,368,111,50.3,49,0.8,0,0,,,,96.3,29.1
AUSTIN ISD,PILLOW EL,TRAVIS,-95.328706118536502,32.130820370784598,318 SCHOOLHOUSE RD,BULLARD,75757,227901151,01-01-09,568,113,275,116,3,61,,,,368,194,19.9,48.4,20.4,0.5,10.7,,,,64.8,34.2
AUSTIN ISD,WOOLDRIDGE EL,TRAVIS,-99.763779,32.479894,2545 MIMOSA DR,ABILENE,79603,227901152,01-01-09,839,38,762,18,1,20,,,,807,651,4.5,90.8,2.1,0.1,2.4,,,,96.2,77.6
AUSTIN ISD,DOSS EL,TRAVIS,-97.806904,31.133023,51000 TANK DESTROYER BLVD,FORT HOOD,76544,227901154,01-01-09,672,15,110,458,3,86,,,,94,96,2.2,16.4,68.2,0.4,12.8,,,,14,14.3
AUSTIN ISD,HILL EL,TRAVIS,-100.444421,31.477615,1600 VOLNEY ST,SAN ANGELO,76903,227901155,01-01-09,707,27,144,483,0,53,,,,99,58,3.8,20.4,68.3,0,7.5,,,,14,8.2
AUSTIN ISD,ODOM EL,TRAVIS,-95.844112,29.716316,5150 RANCH POINT DR,KATY,77494,227901156,01-01-09,712,52,602,55,3,0,,,,638,291,7.3,84.6,7.7,0.4,0,,,,89.6,40.9
AUSTIN ISD,WINN EL,TRAVIS,-97.339972496999621,30.982793343000427,311 N BUMBLEBEE DR,LITTLE RIVER,76554,227901157,01-01-09,425,140,279,6,0,0,,,,404,237,32.9,65.6,1.4,0,0,,,,95.1,55.8
AUSTIN ISD,SUNSET VALLEY EL,TRAVIS,-95.515486,30.065564000000105,7225 ALVIN A KLEIN DR,KLEIN,77379,227901158,01-01-09,443,13,357,59,2,12,,,,351,229,2.9,80.6,13.3,0.5,2.7,,,,79.2,51.7
AUSTIN ISD,GRAHAM EL,TRAVIS,-97.371277,31.087785,2301 W AVE P,TEMPLE,76504,227901159,01-01-09,617,93,493,20,0,11,,,,587,382,15.1,79.9,3.2,0,1.8,,,,95.1,61.9
AUSTIN ISD,LINDER EL,TRAVIS,-98.391068,29.581306,5005 STAHL RD,SAN ANTONIO,78247,227901160,01-01-09,877,44,795,24,1,13,,,,847,528,5,90.6,2.7,0.1,1.5,,,,96.6,60.2
AUSTIN ISD,COOK EL,TRAVIS,-97.060981,27.831454,100 STATION ST,PORT ARANSAS,78373,227901161,01-01-09,904,136,687,46,1,34,,,,858,601,15,76,5.1,0.1,3.8,,,,94.9,66.5
AUSTIN ISD,HOUSTON EL,TRAVIS,-95.560233,29.583099000000121,3500 QUAIL VILLAGE DR,MISSOURI CITY,77459,227901162,01-01-09,941,45,870,22,1,3,,,,887,585,4.8,92.5,2.3,0.1,0.3,,,,94.3,62.2
AUSTIN ISD,HART EL,TRAVIS,-98.169787,26.225681,3700 N RAIDERS DR,PHARR,78577,227901163,01-01-09,822,68,739,12,1,2,,,,795,633,8.3,89.9,1.5,0.1,0.2,,,,96.7,77
AUSTIN ISD,PICKLE EL,TRAVIS,-96.726135,32.887152,9449 CHURCH RD,DALLAS,75238,227901164,01-01-09,715,86,624,5,0,0,,,,701,496,12,87.3,0.7,0,0,,,,98,69.4
AUSTIN ISD,MCBEE EL,TRAVIS,-97.669479,30.661598,2295 N AUSTIN AVE,GEORGETOWN,78626,227901165,01-01-09,740,99,622,15,2,2,,,,718,491,13.4,84.1,2,0.3,0.3,,,,97,66.4
AUSTIN ISD,WILLIAMS EL,TRAVIS,-96.777859,32.587953,1109 W MAIN,LANCASTER,75146,227901166,01-01-09,691,58,527,94,1,11,,,,512,175,8.4,76.3,13.6,0.1,1.6,,,,74.1,25.3
AUSTIN ISD,LANGFORD EL,TRAVIS,-98.640457,26.311541,753 FM 2360,RIO GRANDE CITY,78582,227901168,01-01-09,843,59,751,29,1,3,,,,801,527,7,89.1,3.4,0.1,0.4,,,,95,62.5
AUSTIN ISD,BOONE EL,TRAVIS,-95.719628,29.873555,20150 ARBOR CREEK DR,KATY,77449,227901170,01-01-09,555,59,282,196,3,15,,,,290,67,10.6,50.8,35.3,0.5,2.7,,,,52.3,12.1
AUSTIN ISD,PALM EL,TRAVIS,-95.105318,29.454266,6511 CALDER RD,DICKINSON,77539,227901171,01-01-09,666,86,545,31,1,3,,,,560,256,12.9,81.8,4.7,0.2,0.5,,,,84.1,38.4
AUSTIN ISD,KOCUREK EL,TRAVIS,-95.789374999999893,32.88961,409 FM 3299,EMORY,75440,227901172,01-01-09,677,54,420,190,1,12,,,,437,131,8,62,28.1,0.1,1.8,,,,64.5,19.4
AUSTIN ISD,CASEY EL,TRAVIS,-97.291164,32.693293,4801 EASTLINE DR,FORT WORTH,76119,227901173,01-01-09,665,81,406,157,1,20,,,,439,129,12.2,61.1,23.6,0.2,3,,,,66,19.4
AUSTIN ISD,RODRIGUEZ EL,TRAVIS,-97.017166,30.653144,500 CHILDRESS,ROCKDALE,76567,227901174,01-01-09,977,107,853,16,0,1,,,,951,580,11,87.3,1.6,0,0.1,,,,97.3,59.4
AUSTIN ISD,WIDEN EL,TRAVIS,-100.402909999999892,31.391081,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,76904,227901175,01-01-09,822,76,733,10,0,3,,,,758,459,9.2,89.2,1.2,0,0.4,,,,92.2,55.8
AUSTIN ISD,GALINDO EL,TRAVIS,-98.580818,33.104227,1000 SECOND ST,GRAHAM,76450,227901176,01-01-09,717,32,636,46,1,2,,,,651,391,4.5,88.7,6.4,0.1,0.3,,,,90.8,54.5
AUSTIN ISD,JORDAN EL,TRAVIS,-98.42672,29.439622,4551 DIETRICH RD,SAN ANTONIO,78219,227901178,01-01-09,736,183,537,13,0,3,,,,699,415,24.9,73,1.8,0,0.4,,,,95,56.4
AUSTIN ISD,DAVIS EL,TRAVIS,-95.622064,29.589605,11111 HARLEM RD,RICHMOND,77406,227901179,01-01-09,620,46,151,342,4,77,,,,173,99,7.4,24.4,55.2,0.6,12.4,,,,27.9,16
AUSTIN ISD,KIKER EL,TRAVIS,-97.236583,32.92811,801 BEAR CREEK PKWY,KELLER,76248,227901180,01-01-09,711,15,96,539,0,61,,,,25,19,2.1,13.5,75.8,0,8.6,,,,3.5,2.7
AUSTIN ISD,MILLS EL,TRAVIS,-101.85226,33.522218000000123,7901 AVE P,LUBBOCK,79423,227901181,01-01-09,1058,39,206,643,2,168,,,,92,153,3.7,19.5,60.8,0.2,15.9,,,,8.7,14.5
AUSTIN ISD,BARANOFF EL,TRAVIS,-102.358941,31.887756000000135,1800 E 42ND ST,ODESSA,79762,227901182,01-01-09,854,29,252,503,4,66,,,,85,49,3.4,29.5,58.9,0.5,7.7,,,,10,5.7
AUSTIN ISD,COWAN EL,TRAVIS,-106.410583,31.789595000000123,6201 HUGHEY,EL PASO,79925,227901183,01-01-09,704,46,270,344,4,40,,,,196,46,6.5,38.4,48.9,0.6,5.7,,,,27.8,6.5
AUSTIN ISD,CLAYTON EL,TRAVIS,-95.332357,32.319194,2800 WALTON RD,TYLER,75701,227901184,01-01-09,985,27,155,696,2,105,,,,51,70,2.7,15.7,70.7,0.2,10.7,,,,5.2,7.1
AUSTIN ISD,BLAZIER EL,TRAVIS,-94.933943999999883,30.734508,1801 US 59 LOOP N,LIVINGSTON,77351,227901185,01-01-09,607,66,450,67,1,23,,,,459,195,10.9,74.1,11,0.2,3.8,,,,75.6,32.1
AUSTIN ISD,OVERTON EL,TRAVIS,-95.298484,32.302637,411 ESE LOOP 323,TYLER,75701,227901189,01-01-09,652,223,426,3,0,0,,,,626,324,34.2,65.3,0.5,0,0,,,,96,49.7
AUSTIN ISD,PEREZ EL,TRAVIS,-96.341191999999637,32.973735000000424,201 N ERBY CAMPBELL BLVD,ROYSE CITY,75189,227901190,01-01-09,700,55,605,37,0,3,,,,636,335,7.9,86.4,5.3,0,0.4,,,,90.9,47.9
AUSTIN ISD,AUSTIN ST HOSPITAL,TRAVIS,-101.8769,33.566169000000102,3102 CANTON,LUBBOCK,79410,227901250,01-01-09,21,4,4,11,1,1,,,,4,1,19,19,52.4,4.8,4.8,,,,19,4.8
AUSTIN ISD,ROSEDALE,TRAVIS,-97.457483,31.05896,501 E 4TH,BELTON,76513,227901251,01-01-09,120,25,43,49,0,3,,,,61,19,20.8,35.8,40.8,0,2.5,,,,50.8,15.8
PFLUGERVILLE ISD,PFLUGERVILLE H S,TRAVIS,-98.487762,29.405387000000133,400 EAGLELAND ST,SAN ANTONIO,78210,227904001,01-01-09,2219,545,673,826,7,168,,,,711,66,24.6,30.3,37.2,0.3,7.6,,,,32,3
PFLUGERVILLE ISD,ALTER LEARNING CTR,TRAVIS,-101.914734,33.564065,4910 29TH DR,LUBBOCK,79410,227904002,01-01-09,183,62,79,39,0,3,,,,69,16,33.9,43.2,21.3,0,1.6,,,,37.7,8.7
PFLUGERVILLE ISD,JOHN B CONNALLY H S,TRAVIS,-96.717335,32.919225,12600 AUDELIA,DALLAS,75243,227904003,01-01-09,2004,544,757,384,4,315,,,,915,230,27.1,37.8,19.2,0.2,15.7,,,,45.7,11.5
PFLUGERVILLE ISD,HENDRICKSON HS,TRAVIS,-98.347022,29.510899,8125 GLEN MONT DR,SAN ANTONIO,78239,227904004,01-01-09,1810,411,511,797,5,86,,,,554,69,22.7,28.2,44,0.3,4.8,,,,30.6,3.8
PFLUGERVILLE ISD,TRAVIS CO J J A E P,TRAVIS,-95.407632,29.884911,8500 SWEETWATER LN,HOUSTON,77037,227904008,01-01-09,4,1,2,1,0,0,,,,2,0,25,50,25,0,0,,,,50,0
PFLUGERVILLE ISD,PFLUGERVILLE MIDDLE,TRAVIS,-97.957753,26.134613,2302 N INTERNATIONAL BLVD,WESLACO,78596,227904041,01-01-09,1153,291,407,367,4,84,,,,468,105,25.2,35.3,31.8,0.3,7.3,,,,40.6,9.1
PFLUGERVILLE ISD,WESTVIEW MIDDLE,TRAVIS,-95.460151,29.589485,4910 RAVEN RIDGE DR,HOUSTON,77053,227904042,01-01-09,821,205,402,142,2,70,,,,514,141,25,49,17.3,0.2,8.5,,,,62.6,17.2
PFLUGERVILLE ISD,PARK CREST MIDDLE,TRAVIS,-101.853296,35.1741770000001,3800 LIPSCOMB,AMARILLO,79110,227904043,01-01-09,921,237,278,315,3,88,,,,345,42,25.7,30.2,34.2,0.3,9.6,,,,37.5,4.6
PFLUGERVILLE ISD,ALTER LEARNING MIDDLE,TRAVIS,-95.170059,33.420767,4126 US HWY 271,BOGATA,75417,227904044,01-01-09,21,10,10,1,0,0,,,,12,3,47.6,47.6,4.8,0,0,,,,57.1,14.3
PFLUGERVILLE ISD,DESSAU MIDDLE SCHOOL,TRAVIS,-102.066593861999664,31.975626180000454,503 E INTERSTATE 20 FRONTAGE RD,MIDLAND,79701,227904045,01-01-09,1032,273,468,170,1,120,,,,625,165,26.5,45.3,16.5,0.1,11.6,,,,60.6,16
PFLUGERVILLE ISD,KELLY LANE M S,TRAVIS,-96.652102,28.964374000000124,1303 W GAYLE,EDNA,77957,227904046,01-01-09,861,152,228,443,4,34,,,,195,25,17.7,26.5,51.5,0.5,3.9,,,,22.6,2.9
PFLUGERVILLE ISD,PFLUGERVILLE EL,TRAVIS,-98.198102,26.343484,3801 E MONTE CRISTO RD,EDINBURG,78541,227904101,01-01-09,538,101,160,242,4,31,,,,189,45,18.8,29.7,45,0.7,5.8,,,,35.1,8.4
PFLUGERVILLE ISD,PARMER LANE EL,TRAVIS,-96.481209,33.520254,105 EUBANKS,TOM BEAN,75489,227904102,01-01-09,615,72,380,101,0,62,,,,392,306,11.7,61.8,16.4,0,10.1,,,,63.7,49.8
PFLUGERVILLE ISD,TIMMERMAN EL,TRAVIS,-97.956558,26.293663000000102,920 E SANTA ROSA AVE,EDCOUCH,78543,227904103,01-01-09,516,85,145,202,3,81,,,,169,78,16.5,28.1,39.1,0.6,15.7,,,,32.8,15.1
PFLUGERVILLE ISD,NORTHWEST EL,TRAVIS,-98.312922,26.21814,1201 BRYCE DR,MISSION,78572,227904104,01-01-09,528,92,233,134,4,65,,,,306,134,17.4,44.1,25.4,0.8,12.3,,,,58,25.4
PFLUGERVILLE ISD,DESSAU EL,TRAVIS,-97.840413,33.556067,800 N MILL ST,BOWIE,76230,227904105,01-01-09,525,93,299,81,1,51,,,,385,225,17.7,57,15.4,0.2,9.7,,,,73.3,42.9
PFLUGERVILLE ISD,WINDERMERE EL,TRAVIS,-97.349333246999876,27.717854001000088,5517 S ALAMEDA,CORPUS CHRISTI,78412,227904106,01-01-09,492,164,151,137,3,37,,,,207,46,33.3,30.7,27.8,0.6,7.5,,,,42.1,9.3
PFLUGERVILLE ISD,RIVER OAKS EL,TRAVIS,-100.837626,32.383717,149 S HWY 208,COLORADO CITY,79512,227904107,01-01-09,473,144,147,90,2,90,,,,308,105,30.4,31.1,19,0.4,19,,,,65.1,22.2
PFLUGERVILLE ISD,BROOKHOLLOW EL,TRAVIS,-100.711938,32.404367,800 S LIGHTFOOT,LORAINE,79532,227904108,01-01-09,611,145,180,238,2,46,,,,224,62,23.7,29.5,39,0.3,7.5,,,,36.7,10.1
PFLUGERVILLE ISD,SPRINGHILL EL,TRAVIS,-96.275870999999881,32.743967000000112,300 CREEKSIDE DR,TERRELL,75160,227904109,01-01-09,706,105,347,207,2,45,,,,372,205,14.9,49.2,29.3,0.3,6.4,,,,52.7,29
PFLUGERVILLE ISD,WINDERMERE PRI,TRAVIS,-97.800933,30.149091,10701 S 1ST ST,AUSTIN,78748,227904110,01-01-09,565,143,185,191,1,45,,,,254,113,25.3,32.7,33.8,0.2,8,,,,45,20
PFLUGERVILLE ISD,COPPERFIELD EL,TRAVIS,-106.594576,31.913338,651 CANUTILLO AVE,CANUTILLO,79835,227904111,01-01-09,630,79,458,62,0,31,,,,509,340,12.5,72.7,9.8,0,4.9,,,,80.8,54
PFLUGERVILLE ISD,MURCHISON ELEMENTARY SCHOOL,TRAVIS,-96.854636,28.671601,2785 F M 616,BLOOMINGTON,77951,227904112,01-01-09,799,103,194,442,1,59,,,,120,51,12.9,24.3,55.3,0.1,7.4,,,,15,6.4
PFLUGERVILLE ISD,DELCO PRIMARY SCHOOL,TRAVIS,-102.3826,31.851488000000135,1301 N DOTSY,ODESSA,79763,227904113,01-01-09,625,97,380,85,0,63,,,,455,339,15.5,60.8,13.6,0,10.1,,,,72.8,54.2
PFLUGERVILLE ISD,CALDWELL ELEMENTARY,TRAVIS,-96.336235,30.678423,2500 AUSTIN'S COLONY PKWY,BRYAN,77808,227904114,01-01-09,734,123,334,208,4,65,,,,364,230,16.8,45.5,28.3,0.5,8.9,,,,49.6,31.3
PFLUGERVILLE ISD,ROWE LANE EL,TRAVIS,-98.230494,30.77421,1000 THE GREEN MILE,BURNET,78611,227904115,01-01-09,681,99,168,385,0,29,,,,126,31,14.5,24.7,56.5,0,4.3,,,,18.5,4.6
PFLUGERVILLE ISD,HIGHLAND PARK EL,TRAVIS,-94.994630006999685,29.375937826000492,397 DUROUX,LA MARQUE,77568,227904116,01-01-09,859,220,329,233,1,76,,,,404,171,25.6,38.3,27.1,0.1,8.8,,,,47,19.9
PFLUGERVILLE ISD,WIELAND EL,TRAVIS,-102.649942,32.716177,508 S W AVE D,SEMINOLE,79360,227904117,01-01-09,648,269,189,90,2,98,,,,383,117,41.5,29.2,13.9,0.3,15.1,,,,59.1,18.1
MANOR ISD,MANOR H S,TRAVIS,-98.70661,29.519658,10900 SCHAENFIELD RD,SAN ANTONIO,78254,227907001,01-01-09,1034,348,551,121,1,13,,,,741,154,33.7,53.3,11.7,0.1,1.3,,,,71.7,14.9
MANOR ISD,EXCEL HIGH SCHOOL,TRAVIS,-95.552939,29.715657,10535 HARWIN DR,HOUSTON,77036,227907002,01-01-09,42,5,28,8,0,1,,,,27,3,11.9,66.7,19,0,2.4,,,,64.3,7.1
MANOR ISD,TRAVIS CO J J A E P,TRAVIS,-95.447381,30.009915,3230 SPEARS RD,HOUSTON,77067,227907003,01-01-09,4,1,2,1,0,0,,,,3,0,25,50,25,0,0,,,,75,0
MANOR ISD,MANOR NEW TECHNOLOGY HIGH,TRAVIS,-96.888425,32.738999,622 SUNNYSIDE AVE,DALLAS,75211,227907004,01-01-09,240,52,105,79,0,4,,,,135,18,21.7,43.8,32.9,0,1.7,,,,56.3,7.5
MANOR ISD,MANOR MIDDLE SCHOOL,TRAVIS,-106.293612,31.657976,10150 ALAMEDA AVE,EL PASO,79927,227907041,01-01-09,706,208,371,119,1,7,,,,508,113,29.5,52.5,16.9,0.1,1,,,,72,16
MANOR ISD,DECKER MIDDLE SCHOOL,TRAVIS,-97.164735,32.591082000000135,1280 FM 1187,MANSFIELD,76063,227907042,01-01-09,586,158,365,52,0,11,,,,480,185,27,62.3,8.9,0,1.9,,,,81.9,31.6
MANOR ISD,MANOR ELEMENTARY SCHOOL,TRAVIS,-97.385854,32.732039,4501 W FWY,FORT WORTH,76107,227907101,01-01-09,666,167,407,87,1,4,,,,479,161,25.1,61.1,13.1,0.2,0.6,,,,71.9,24.2
MANOR ISD,BLUEBONNET TRAIL ELEMENTARY SCHOOL,TRAVIS,-95.293492,29.694065,3400 EVERGREEN DR,HOUSTON,77087,227907102,01-01-09,796,217,378,112,0,89,,,,504,268,27.3,47.5,14.1,0,11.2,,,,63.3,33.7
MANOR ISD,DECKER ELEMENTARY SCHOOL,TRAVIS,-95.43617,29.946224,11429 SPEARS-GEARS RD,HOUSTON,77067,227907104,01-01-09,537,103,400,29,1,4,,,,498,300,19.2,74.5,5.4,0.2,0.7,,,,92.7,55.9
MANOR ISD,BLAKE MANOR ELEMENTARY,TRAVIS,-97.427017,27.775754,2920 SOLEDAD,CORPUS CHRISTI,78405,227907105,01-01-09,574,94,357,118,3,2,,,,463,180,16.4,62.2,20.6,0.5,0.3,,,,80.7,31.4
MANOR ISD,PRESIDENTIAL MEADOWS EL,TRAVIS,-94.637528,31.605904000000105,2801 PARK ST,NACOGDOCHES,75961,227907106,01-01-09,579,179,315,80,1,4,,,,422,171,30.9,54.4,13.8,0.2,0.7,,,,72.9,29.5
MANOR ISD,OAK MEADOWS ELEMENTARY,TRAVIS,-96.559749,32.794467,216 N COLLINS RD,SUNNYVALE,75182,227907107,01-01-09,452,79,368,5,0,0,,,,424,275,17.5,81.4,1.1,0,0,,,,93.8,60.8
EANES ISD,WESTLAKE H S,TRAVIS,-101.977373,35.850695,401 W 14TH ST,DUMAS,79029,227909001,01-01-09,2438,25,178,2010,17,208,,,,64,20,1,7.3,82.4,0.7,8.5,,,,2.6,0.8
EANES ISD,HILL COUNTRY MIDDLE,TRAVIS,-95.439384,32.795637,902 E GOODE ST,QUITMAN,75783,227909041,01-01-09,874,9,59,741,1,64,,,,20,18,1,6.8,84.8,0.1,7.3,,,,2.3,2.1
EANES ISD,WEST RIDGE MIDDLE,TRAVIS,-97.034531,33.066427,1604 N GARDEN RIDGE BLVD,LEWISVILLE,75077,227909042,01-01-09,844,7,64,674,1,98,,,,19,10,0.8,7.6,79.9,0.1,11.6,,,,2.3,1.2
EANES ISD,EANES EL,TRAVIS,-98.103159,26.308325,1414 N ALAMO,EDINBURG,78539,227909101,01-01-09,493,10,38,399,1,45,,,,16,16,2,7.7,80.9,0.2,9.1,,,,3.2,3.2
EANES ISD,CEDAR CREEK EL,TRAVIS,-96.994817999999896,32.660731,4616 E BARDIN RD,GRAND PRAIRIE,75052,227909102,01-01-09,411,3,44,308,3,53,,,,16,21,0.7,10.7,74.9,0.7,12.9,,,,3.9,5.1
EANES ISD,VALLEY VIEW EL,TRAVIS,-95.886698634999618,29.697632883000487,9302 BOIS D ARC DR,FULSHEAR,77441,227909103,01-01-09,443,7,40,369,0,27,,,,29,19,1.6,9,83.3,0,6.1,,,,6.5,4.3
EANES ISD,FOREST TRAIL EL,TRAVIS,-100.459023,31.47905200000012,2223 BROWN,SAN ANGELO,76903,227909104,01-01-09,614,6,47,487,3,71,,,,6,20,1,7.7,79.3,0.5,11.6,,,,1,3.3
EANES ISD,BARTON CREEK EL,TRAVIS,-102.517874,36.057941,1802 E 16TH,DALHART,79022,227909105,01-01-09,473,2,38,331,0,102,,,,10,7,0.4,8,70,0,21.6,,,,2.1,1.5
EANES ISD,BRIDGE POINT EL,TRAVIS,-97.12046,31.469475,541 N OLD ROBINSON RD,ROBINSON,76706,227909106,01-01-09,740,4,21,635,5,75,,,,6,2,0.5,2.8,85.8,0.7,10.1,,,,0.8,0.3
DEL VALLE ISD,DEL VALLE H S,TRAVIS,-98.510794,29.635493,21019 WILDERNESS OAK,SAN ANTONIO,78258,227910001,01-01-09,2131,352,1538,216,6,19,,,,1497,180,16.5,72.2,10.1,0.3,0.9,,,,70.2,8.4
DEL VALLE ISD,DEL VALLE OPPORTUNITY CTR,TRAVIS,-98.594788,31.912796,1600 N AUSTIN,COMANCHE,76442,227910002,01-01-09,143,13,115,14,1,0,,,,114,9,9.1,80.4,9.8,0.7,0,,,,79.7,6.3
DEL VALLE ISD,TRAVIS CO J J A E P,TRAVIS,-98.454262,29.502759,100 WOODRIDGE,SAN ANTONIO,78209,227910005,01-01-09,3,0,2,1,0,0,,,,1,0,0,66.7,33.3,0,0,,,,33.3,0
DEL VALLE ISD,DEL VALLE MIDDLE SCHOOL,TRAVIS,-95.108747,32.754067,9788 STATE HWY 154 W,BIG SANDY,75755,227910041,01-01-09,986,193,706,69,3,15,,,,732,117,19.6,71.6,7,0.3,1.5,,,,74.2,11.9
DEL VALLE ISD,JOHN P OJEDA JR HIGH,TRAVIS,-99.242925,30.300893,250 N SCHOOL ST,HARPER,78631,227910042,01-01-09,871,83,723,60,2,3,,,,755,181,9.5,83,6.9,0.2,0.3,,,,86.7,20.8
DEL VALLE ISD,POPHAM EL,TRAVIS,-94.591044,30.027144,201 S CHISM,DEVERS,77538,227910101,01-01-09,923,89,752,65,3,14,,,,757,338,9.6,81.5,7,0.3,1.5,,,,82,36.6
DEL VALLE ISD,SMITH EL,TRAVIS,-95.44921799999986,29.062465,802 THAT WAY ST,LAKE JACKSON,77566,227910106,01-01-09,639,47,552,26,1,13,,,,561,297,7.4,86.4,4.1,0.2,2,,,,87.8,46.5
DEL VALLE ISD,HILLCREST EL,TRAVIS,-97.677965,30.401848,12301 N LAMAR BLVD,AUSTIN,78753,227910107,01-01-09,716,40,634,39,1,2,,,,678,405,5.6,88.5,5.4,0.1,0.3,,,,94.7,56.6
DEL VALLE ISD,BATY EL,TRAVIS,-97.826775,31.769565,505 S 2ND ST,CRANFILLS GAP,76637,227910108,01-01-09,738,63,648,21,2,4,,,,694,340,8.5,87.8,2.8,0.3,0.5,,,,94,46.1
DEL VALLE ISD,HORNSBY-DUNLAP EL,TRAVIS,-99.466566336626386,27.452272282572817,2710 LA PITA MANGANA RD,LAREDO,78046,227910109,01-01-09,888,189,648,47,2,2,,,,748,355,21.3,73,5.3,0.2,0.2,,,,84.2,40
DEL VALLE ISD,DEL VALLE ELEMENTARY SCHOOL,TRAVIS,-97.983118,26.153161000000107,700 S BRIDGE,WESLACO,78596,227910110,01-01-09,726,81,548,84,2,11,,,,595,280,11.2,75.5,11.6,0.3,1.5,,,,82,38.6
DEL VALLE ISD,CREEDMOOR EL,TRAVIS,-95.328185,33.185534000000132,150 COUNTY RD 3534,SALTILLO,75478,227910111,01-01-09,734,30,624,79,1,0,,,,603,296,4.1,85,10.8,0.1,0,,,,82.2,40.3
LAKE TRAVIS ISD,LAKE TRAVIS H S,TRAVIS,-97.318764,32.541847000000125,201 S DOBSON ST,BURLESON,76028,227913001,01-01-09,1844,29,276,1468,8,63,,,,214,69,1.6,15,79.6,0.4,3.4,,,,11.6,3.7
LAKE TRAVIS ISD,TRAVIS CO J J A E P,TRAVIS,-95.6955585179997,29.654908791000594,17727 ABERMORE LN,RICHMOND,77407,227913002,01-01-09,2,0,0,2,0,0,,,,0,0,0,0,100,0,0,,,,0,0
LAKE TRAVIS ISD,LAKE TRAVIS MIDDLE,TRAVIS,-98.945845,26.407589000000133,3210 OLD ESCOBARES HWY 83,ROMA,78584,227913041,01-01-09,729,15,75,599,0,40,,,,44,4,2.1,10.3,82.2,0,5.5,,,,6,0.5
LAKE TRAVIS ISD,HUDSON BEND MIDDLE,TRAVIS,-102.336863,35.682952,900 GREENWOOD AVE,CHANNING,79018,227913042,01-01-09,695,10,136,534,3,12,,,,117,45,1.4,19.6,76.8,0.4,1.7,,,,16.8,6.5
LAKE TRAVIS ISD,LAKE TRAVIS EL,TRAVIS,-94.51731,33.487856,6178 W US HWY 82,NEW BOSTON,75570,227913101,01-01-09,662,16,266,359,4,17,,,,266,175,2.4,40.2,54.2,0.6,2.6,,,,40.2,26.4
